PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40112323,Combining Immunotherapy with Anlotinib in Extensive-Stage Small Cell Lung Cancer: A Multicenter Analysis of Efficacy and Safety.,2025 Jan-Dec,N/A,N/A,
40112316,Bispecific antibodies (bsAbs) directed against PD-1/PD-L1 and CTLA-4; a mini review.,2025 Mar 20,N/A,N/A,
40112298,Efficacy of Fractionated Carbon Dioxide Laser for the Treatment of Genitourinary Syndrome of Menopause: A Systematic Review and Meta-analysis.,2025 Mar 20,N/A,N/A,
40112260,Call to Action for Treatment of Food Insecurity: A Vital Element of Equitable Cancer Care.,2025 Mar 20,N/A,N/A,
40112257,Peer Navigation for HIV-Associated Kaposi Sarcoma in Kenya: The Power of the Survivor's Voice.,2025 Mar,N/A,N/A,
40112256,Outcomes of Loop Electrosurgical Excision Procedures Performed for Severe Cervical Dysplasia in Botswana.,2025 Mar,N/A,N/A,
40112254,Effects of exercise on inflammation in female survivors of nonmetastatic breast cancer: a systematic review and meta-analysis.,2025 Mar 20,N/A,N/A,
40112247,Help Navigate the Process: Early Information and Communication About Late Effects of Pediatric and Adolescent Cancer.,2025 Mar 20,N/A,N/A,
40112242,State of the Art: Personalizing Treatment for Patients With Metastatic Castration-Resistant Prostate Cancer.,2025 Jun,N/A,N/A,
40112233,Large Language Models as Decision-Making Tools in Oncology: Comparing Artificial Intelligence Suggestions and Expert Recommendations.,2025 Mar,N/A,N/A,
40112217,Targeting COPA to Enhance Erdafitinib Sensitivity in FGFR-Altered Bladder Cancer.,2025 Mar 20,N/A,N/A,
40112204,Treatment of RET/ALK comutated advanced lung large cell neuroendocrine carcinoma: a case report and literature review.,2025 Mar 21,N/A,N/A,
40112194,Rational Design and Organoid-Based Evaluation of a Cocktail CAR-γδ T Cell Therapy for Heterogeneous Glioblastoma.,2025 Mar 20,N/A,N/A,
40112181,Evidence of Immunogenic Cell Death (ICD) and ICD-dependent Dendritic Cell Activation Induced by Extracorporeal Photopheresis in Patients with leukemic forms of cutaneous T cell lymphoma.,2025 Mar 20,N/A,N/A,
40112130,Impact of Diagnosis of Urologic Cancer on Male Sexuality and Patients' Perceptions of Health Professional's Approach.,2025 Jul-Aug,N/A,N/A,
40111953,Aggressive surgical approach with major vascular resection for retroperitoneal sarcomas.,2025,N/A,N/A,
40111935,Neuroprotective effects of SGLT2 inhibitors empagliflozin and dapagliflozin on Aβ(1-42)-induced neurotoxicity and neuroinflammation in cellular models of Alzheimer's disease.,2025 Mar 20,N/A,N/A,
40111931,Mechanism of Unexpected In-Trans Post-PKS Polyketide Reduction in Cochliodone Biosynthesis.,2025 Mar 20,N/A,N/A,
40111907,Mean creatinine decrease after administration of intravenous contrast in patients with renal dysfunction: implications for assessment of post-contrast nephrotoxicity.,2025 Mar 20,N/A,N/A,
40111901,Autoimmune Disorders of the Liver and Biliary Tract.,2025 Apr,N/A,N/A,
